id,merchantName
3986,ProBikeKit (US &amp; CA)
3993,PrinterPix
3994,PrimeSport.com (US)
3997,Euro Car Parts
4009,The Twister Group (US &amp; CA)
4011,TrophySkin (US)
4014,Apple Vacations (US &amp; CA)
4016,Game Access (CA)
4019,MovieTickets.com (US)
4028,Affiliate Window (CAD)
4030,Affiliate Window (EUR)
4032,Affiliate Window (USD)
4037,SuperStar Tickets (US)
4057,Organic Bouquet (US)
4059,Coffee.org (US)
4060,Value Pet Supplies (US)
4063,PeaceLoveWorld (US &amp; CA)
4065,TeamSnap (US &amp; CA)
4067,Coyuchi (US &amp; CA)
4068,Linens Bargains (US &amp; CA)
4070,Buddha Groove (US &amp; CA)
4099,LBC Lighting (US &amp; CA)
4212,Pavers
4108,RAC Bike Insurance
4109,Saga Guaranteed Life Insurance
4114,Regatta
4115,Proporta (US &amp; CA)
4118,mytyres.co.uk
4119,123spareparts.co.uk
4120,moto-tyres.co.uk
4260,John Lewis Broadband
4217,Lonely Planet (US &amp; CA)
4222,ETA Insurance
4230,Ferrari Store (US)
4235,Swarovski (US)
4237,Barcelo (US &amp; CA)
4238,Riu (US &amp; CA)
4251,QP Jewellers
4253,Shoe Zone
4261,Led Hut Ltd
4264,Mighty Deals
4270,ROK Electronic Cigarettes
4273,Kinetica Sports
4275,Agoda.com (Global)
4276,Paddy Power (Sports)
4277,The Jewel Hut
4390,Hellofresh
4282,Titan Travel
4285,Slendertone (US)
4291,Atlantis The Palm
4296,De Gruchys
4307,Stubhub.co.uk
4315,Gtech.co.uk
4318,Coggles
4319,LivingSocial - Ireland
4340,Theatrepeople
4333,Madamevacances
3959,HomeArena
4335,Prestige Flowers
4348,Doggie Solutions Ltd
4349,Westend Theatrebreaks
4350,UKTickets
4351,National Tyres and Autocare
4352,Western Union
4353,Debenhams Flowers
4358,Ebuyer Business
4359,Ticketbis
4329,lastminute.com
4362,Vapouriz Electronic Cigarettes
4377,Clear Chemist
4383,Waitrose Florist
4385,Bakker Spalding
4388,HiWayHiFi
4393,Little Mistress
5779,shop4world.com
4400,Zuto
4403,TalkTalk Mobile
4409,Siblu Holidays UK
4410,E Cigarettedirect
4412,Superdry UK
4413,Superdry (US)
5483,Monster Pet Supplies
4418,Saints &amp; Slimmers
4430,Oak Furniture Superstore
4431,Great Furniture Trading Company
4435,Acess
4433,Pauls Boutique
4436,Just Sheepskin
4445,Confused.com
4446,Aldo Shoes (UK)
4448,Superdry (CA)
4453,Create and Craft
4454,myvitamins.com
4455,We Want Any Car
5894,Genes Reunited
4456,Merlin Cycles (US &amp; CA)
4459,Frugi
5764,Papa Johns
4466,Reading Eggs
4467,Bargain Crazy
4542,Dragon Carp Direct
4592,Pebble Grey
4728,Highland Titles
4736,Affordable Supplements
4746,Cox and Cox
4786,Marks and Spencer Ireland
4788,Key Retirement
4802,The White Company
4804,Hotelsclick.com UK
4808,Hotel Du Vin
4818,Malmaison
4822,BULK POWDERS
4834,Manor Cottages
4850,Click Basin
4854,Look Again
4878,Printed.com
4870,Whisk Hampers
4874,1&amp;1 Internet (US)
4876,1&amp;1 Internet (CA)
4882,Find a Baby Sitter
4888,Samuel Johnston
4890,Paddy Power (Games)
4892,Paddy Power (Bingo)
4900,Wish.co.uk
4908,Cross
4910,Tokyo Laundry
4934,Allianz Musical Insurance
4936,Freedom Finance
5572,Voice Mobile Limited
5578,Go Groopie
5004,Heathcote &amp; Ivory
4988,Krystal
4992,Woolovers (US)
4994,Woolovers (CA)
4998,Hotelsclick.com (US)
5010,Proviz
5030,Muubaa
5032,Ben Sherman
5164,Slendertone IE
5070,Gousto
5076,The Watch Hut
5088,Guess Europe
5096,Warranty Wise
5106,Bateaux London
5108,theofficesuppliessupermarket.com
5122,Eastex
5124,Dashfashion
5140,Espares
5150,The Protein Works
5152,Snow Rental
5154,Liverpool Airport
5160,Time Magazine
5166,JerseyTravel.com
5168,GuernseyTravel.com
5172,Laybrook Ltd
5176,Calor
5178,TP Toys
5184,MobileShop.com
5190,Simply LED
5212,Benefits Alliance Travel Insurance
5232,Dead Legacy
5238,The Range
5252,Direct Car Excess Insurance
5270,Minerva Crafts
5272,Spirit of Nature
5277,Moevenpick Hotels (US &amp; CA)
5278,ResorTime (US &amp; CA)
5280,H10 Hotels (US &amp; CA)
5281,Corinthia (US &amp; CA)
5282,Bahia Principe (US &amp; CA)
5283,Design Hotels (US &amp; CA)
5287,National Holidays
5291,Pen Shop
5293,Getmecarfinance
5295,PC World IE
5297,Currys IE
5311,Jack Wills (US)
5366,ALA
5315,Amstar DMC (US &amp; CA)
5654,David Shuttle
5318,Waterford
5319,Royal Doulton
5320,Royal Albert
5325,New Era Cap
5326,Etihad Airways
5331,RAC Van Insurance
5338,RAC European Breakdown Cover
5340,British Gas Energy
5341,British Gas Homecare
5342,British Gas CPL Campaign
5343,British Gas Calls - On Demand
5346,Swiss.com (US)
5349,directblinds
5350,unineed
5351,Exodus Travels
5358,Rodial
5362,Nip &amp; Fab
5363,Sonic Direct
5369,Hyatt Hotels &amp; Resorts (US &amp; CA)
5371,TeamSport Indoor Karting
5374,SportsDirect.com
5376,usc.co.uk
5379,Offspring
5382,Your Furniture Online
5386,Exante Diet
5387,Claire&#39;s
5401,Officers club
5402,Blue Inc
5404,John Fowler Holidays
5407,Tickled Tache
5408,Art Gallery
5411,Hobbycraft
5412,Predator Nutrition
5413,XLN Telecom
5423,Post Office Travel Money
5430,London City Airport
5431,Whipsnade
5432,Dial a TV
5433,ipostparcels
5437,Chic Look
5440,Woosh Airport Extras
