id,merchantName
208935,Fraser Hart
200741,Oh My Love
200738,Hunter US
200602,Cadenzza UK
185802,Carnet de Mode
183294,Wal G
183291,HUGO BOSS
182149,usc.co.uk
179839,Cole Haan
178182,Belk
173685,The Cambridge Satchel Co.
173196,Hampden Clothing
172751,Diesel USA
172616,Shopify Inc.
172333,Amara
172278,Jules B Usa
171269,Ray-Ban
167291,Farah
163073,Butterfly Twists Ltd
163064,Gossard
160760,Crew Clothing
153717,Country House Outdoor
153683,Sunglass Hut Affiliate Program
152103,CAMILLA AND MARC
151498,Illustrated People
149928,Fila
149848,JOLLYCHIC EC LIMITED
149838,Front Row Shop
148746,Pixie Market
147354,Damart
147313,Malene Birger Nl
147181,Solestruck
147061,meli melo
146167,The Dreslyn
145830,Stella McCartney US
145429,Stutterheim Raincoats
145287,Tory Burch UK
145060,Kohls Department Stores Inc
144542,Keds
144502,Marciano
144474,Nike
143765,Camper (P)
143230,aldoshoes.com USA
142515,Hobbs Ltd
141583,Target
141373,navabi
141370,Steven Alan
137300,Pull & Bear
136454,Diane von Furstenberg International
136068,equipmentfr.com
135756,Barneys New York
134462,Blue Inc
130945,Stuart Weitzman
130908,PUMA
129099,Havaianas
128863,House Of CB
128596,Monica Vinader
128541,MANGO（マンゴ）
127286,Paige Denim (old)
126376,Lane Crawford - AUS
124875,Lane Crawford
124355,Cynthia Rowley
124155,Skagen
123159,Allike Store - Sneaker & Trendschuhe
123089,Stylistpick
121456,Westward Leaning
121430,Hanro
120877,Dolce Vita
120775,Reebok
120324,Timberland
119963,Sainsburys Grocery
119790,Temperley Us
119704,Deleted- rag & bone
119469,Free People UK
119466,Free People
119405,"Firmoo Co., Ltd"
119223,Donna Karan
118558,Elvi
118240,Look Again
117807,Quiksilver Retail Inc - Roxy
117329,Rupert Sanderson
116669,The Chimp Store
115547,The Watch Hut
115472,MILLY
115135,Creative Recreation
115120,Ben Sherman
114967,Hunter UK
114614,FARFETCH.COM Australia
114301,HerRoom.com
113368,MUUBAA
113331,J Choo (OS) Limited - UK
112670,Go Outdoors
112583,DVF
112548,SurfStitch (Ended)
112166,LOFT
112165,Ann Taylor
111931,ModCloth
107725,thecorner.com
107683,Nike Fr
107596,armani.com
106983,Torrid
105704,Club Monaco
105529,MissSixty.IT[Closed_30.08.2016]
105263,Marc B
105261,Temperley
104866,Need Supply Co.
104504,Nike Ie
104462,Nike Fi
104460,Nike Nl
104426,Daisy Street
104411,Nike De
103416,AVENUE 32
103390,Alice + Olivia
103105,Withings
103023,Journelle
102560,Notonthehighstreet.com - US
101789,Henri Bendel
101764,Coach
101686,Lord & Taylor
101347,aldoshoes.com CANADA
100990,Swimwear365
100968,Darling Clothes
100880,Oscar de la Renta
100422,Intimissimi GB
97124,Hervia
96976,Daniel Wellington
96973,Lands' End
96817,Kay Jewelers
95807,Rebecca Taylor
93338,Triwa
93224,Rebecca Minkoff & Ben Minkoff
93065,Knomo
92968,Moda In Pelle
92551,"Persun Garment CO.,LTD."
92216,howies
92135,Nine West UK
92027,Jon Richard
91973,Izabel London
91514,Shoe Zone
91355,Steve Madden
91257,FarFetch BR
91246,Shoeaholics
90494,Astley Clarke - US
90453,The Jewel Hut
89922,Joie
88650,Regatta
79883,"J Brand, Inc."
79735,Madeleine
79374,Strand of Silk
79247,Stella & Dot
79168,Stuarts London
79146,Happy Socks - Trendige Socken online bestellen
78542,Speedo.co.uk
78192,Tory Burch
77689,Bravissimo
75241,GorgeousCouture.Com
74705,HALLHUBER Online Shop
74692,Claire's
74630,Journelle Affiliate Program
74613,Bloomingdales UK
74504,Apricot
74379,Aftershock London
74073,Flannels
73961,Hugo Boss
73563,Alpha Industries
73554,Jones and Jones Fashion
73427,Michael Kors - Ecommerce
73391,Damsel In A Dress
73140,NONNON
73027,Macys UK
69333,Vince Camuto
69077,Route One
69035,Thomas Pink
68931,Glasses Direct
68928,BaubleBar
68825,SPANX
67603,Alexander Wang
67258,Swarovski
67140,Mango - AT
64902,TFNC London
64516,Boux Avenue
64428,Teva
64314,CRUISE
63459,bettybarclay-veramont-gilbret
62484,Curvissa
62453,St. Studio NL
61746,Cosabella
61728,Oasap.com
61367,Argent of London
60871,Psyche
60671,Theory
60668,Folli Follie UK
60439,BjÃƒÂ¶rn Borg
60424,Ray-Ban
55008,Yumi
50597,Long Tall Sally US
50594,Isme
49707,bonprix
47366,Reiss UK
47348,Monsoon
47232,Spoiled Brat
47070,Sunglasses Shop
46991,UK Tights
46702,Fortnum & Mason
46680,La Perla IT
46677,La Perla UK
46346,Levi's
45749,Gap EU
44723,Nancy Meyer Fine Lingerie & Designer Swimwear
44616,Shop Les Nouvelles
44252,Stone Island
42473,Forever Unique
42327,Pure Collection
41968,PUMA UK
39906,Rubber Sole
39648,Asos.com ROW
38886,Puma
38236,Wolford
37874,Watch Shop
37514,Pilot Clothing
36110,Traffic People
35891,The Dressing Room
35873,Wolford Online Boutique
35828,Emma Bridgewater
35825,Amanda Wakeley
35804,Topman US
35441,MATCHESFASHION.COM - UK
30577,Fossil UK
30454,THE OUTNET.COM (UK)
30453,THE OUTNET.COM
30194,Singer22
30111,Guess ES
30012,Whistles
29768,UGG Australia
28154,Mytheresa.com UK
28002,Guess FR
27049,The Hut
26905,Trilogy
24659,"Crocs, Inc."
24653,Topman
23125,Tightsplease
20933,Acne Studios
20916,Lipsy
20251,Athleta
13045,L.K. Bennett
12829,Bench
12680,Ebay UK
12526,Bluefly
12202,argos.co.uk
11902,Hat World / Lids
11881,6pm
11834,Zappos.com
11134,Oakley
10955,Banana Republic
10953,Old Navy
10940,Laura Ashley
10798,Fossil
8552,Urban Outfitters
8443,Wiggle Online Cycle Shop
8393,Daxon
8378,M&Co
8291,Astley Clarke
8276,Marks and Spencer
8245,Hotter Shoes
8232,Simply Beach
8231,Simply Swim
1739,Lands End Affiliate Program (Closed 31/10/2015)
624,UncommonGoods
619,FORZIERI.com
610,Bare Necessities
553,Footlocker.com
543,Macys.com
231,FORZIERI.COM (UK)
148,"Vans,a Division of VF Outdoor, Inc."
